id	class	text
2535	error	'%Fs::%Fs' : call to overloaded function is ambiguous
2536	error	'%Fs::%Fs' : no match for call to overloaded function
2537	error	'%Fs' : illegal linkage specification
2538	error	new : cannot init arrays
2539	error	new : '%Fs' needs default ctor to init arrays of objects
2540	error	<array type> non-constant expression as array bound
2541	error	operator delete : cannot delete non-pointer objects
2542	error	'%Fs' : class object has no ctor for initializing
2543	error	expected ']' for operator '[]'
2544	error	expected ')' for operator '()'
2545	error	'%Fs' : unable to find overloaded operator
2546	error	'%Fs::%Fs' : wrong number of parameters
2547	error	'%Fs::%Fs' : different types : parameter %d
2548	error	'%Fs::%Fs' : missing default argument : parameter %d
2549	error	'%s' : cannot overload this operator
2550	error	operator is not member function and has no class type operand
2551	error	void type to User Defined Type illegal without an explicit cast
2552	error	'%Fs' : non-aggregates cannot be initialized with initializer list
2553	error	no legal conversion of return value to return type '%Fs'
2554	error	argument '%d' of type '%Fs' has a copy constructor
2555	error	'%Fs' : virtual functions only differ by return type
2556	error	'%Fs' : overloaded functions only differ by return type
2557	error	'%Fs' : non-public members cannot be initialized without a ctor
2558	error	'%Fs' : already contains '%Fs' as a member function
2559	error	'%Fs' : already contains '%Fs' as a member
2560	error	no default constructor for class %Fs : function must return a value
2561	error	function must return a value
2562	error	void function returning a value
2563	error	function/pointer to function mismatch in formal argument list
2564	error	call through pointer to function formal/actuals mismatch
2565	error	'::%Fs' was previously declared as a global function
2566	error	'%Fs' : constructors cannot be virtual
2567	error	'%Fs' : expected a type or a function declaration/definition
2568	error	'%s' : unable to resolve function overload
2569	error	'%Fs' : is a union. Cannot use it as a base class
2570	error	'%Fs' : is a union under definition. Cannot have base classes
2571	error	'%Fs' : is a union. Cannot have virtual function '%Fs'
2572	error	'%Fs::%Fs' : previous default argument cannot be redefined : parameter %d
2573	error	static constructors are illegal
2574	error	static destructors are illegal
2575	error	'%Fs' : keyword 'virtual' applies only to member functions
2576	error	'%Fs' : 'virtual' does not apply to static member functions
2577	error	'%Fs' : destructor cannot return a value
2578	error	declaration as only statement after '%s'
2579	error	'%Fs::%Fs(%s)' : argument list not sufficiently different from '%Fs::%Fs(%s)'
2580	error	type used in conjunction with %s '%Fs' is illegal
2581	error	static operator= function is illegal
2582	error	virtual operator= function is illegal
2583	error	no operator= function available
2584	error	'%Fs' already occurs as an indirect base class
2585	error	a base class of '%Fs' already occurs as a direct base class
2599	error	'%Fs' : Not Yet Implemented
2600	error	NYI : virtual base classes
2601	error	NYI : local function definitions
2602	error	NYI : arbitrary paren'd expression init of non-objects
2603	error	NYI : '%Fs' virtual function replacement requiring thunks
2604	error	NYI : thunk '%Fs'
2605	error	NYI : adding default args in subsequent declaration/definition
2701	error	'%Fs' : _oldcall function defined with varargs
2702	error	'%Fs' : _try may not appear in termination block
2703	error	'%Fs' : definition may not have '%Fs' modifier
2704	error	'%Fs' : _va_start intrinsic only allowed in varargs
2705	error	'%Fs' : illegal jump into _try scope
2706	error	no function prototype on _stdcall function
2800	error	'operator %s' cannot be overloaded
2801	error	'operator %s' must be a member
2802	error	'operator %s' has no arguments, and is not a non-static member
2803	error	'operator %s' must have at least one argument of class type
2804	error	binary 'operator %s' has too many arguments
2805	error	binary 'operator %s' has too few arguments
2806	error	'operator %s' has too many arguments
2807	error	the second argument to postfix 'operator %s' must be 'int'
2808	error	unary 'operator %s' has too many arguments
