name	c2_rva	c3_rva	c2_source	c3_source
_get_err	0x0005f2da	0x0002bf9a	compiler_contribution_118 [_get_err, _get_msg, _get_message...]	get_err.c
_getenv	0x0005fdea	0x0002c1ea	D:\nt\private\crt32st\misc\getenv.c	D:\nt\private\crt32st\misc\getenv.c
_getmem	0x00043cc4	0x00010f38	compiler_contribution_029 [_pool_init, _getmem, _sgetmem...]	memallo.c
_heap_new_region	0x000641d4	0x0002c80e	D:\nt\private\crt32st\heap\heapgrow.c	D:\nt\private\crt32st\heap\heapgrow.c
_il_file	0x0004a1c4	0x00026c30	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_imm_size	0x000655ca	0x0001c9f4	compiler_contribution_133 [_op_size, _c_size, _ea_size...]	csize.c
_keyread	0x00049e08	0x000268b8	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_loop_type	0x00050022	0x00016b9c	compiler_contribution_088 [_loop_opt, _only_once, _dom...]	compiler_contribution_010 [_ref_types, _post_init, _spdep_init...]
_loread	0x00049f18	0x000269b0	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_lsignore	0x0004a164	0x00026bdc	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_lsread	0x0004a0f8	0x00026b6c	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_main	0x00010c10	0x00010024	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	main.c
_mainCRTStartup	0x0004eada	0x00028ece	D:\nt\private\crt32st\startup\crt0.c	D:\nt\private\crt32st\startup\crt0.c
_malloc	0x00064060	0x0002c69a	D:\nt\private\crt32st\heap\malloc.c	D:\nt\private\crt32st\heap\malloc.c
_memchr	0x000647e6	0x0002ce10	D:\nt\private\crt32st\string\memchr.c	D:\nt\private\crt32st\string\memchr.c
_memmove	0x00064856	0x0002ce50	D:\nt\private\crt32st\string\memmove.c	D:\nt\private\crt32st\string\memmove.c
_memset	0x000648b6	0x0002ceb0	D:\nt\private\crt32st\string\memset.c	D:\nt\private\crt32st\string\memset.c
_message	0x0004c624	0x00026e40	compiler_contribution_041 [_error, _fatal, _warning...]	error.c
_nextword	0x00010000	0x00010000	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	main.c
_our_ltoa	0x00065616	0x0002cee0	compiler_contribution_134 [_our_ltoa]	ltoa.c
_preg	0x000455f0	0x00016080	compiler_contribution_032 [_preg]	MD.c
