index	source	source_raw	start_rva	end_rva	length	functions
65	D:\nt\private\crt32st\startup\crt0.c	D:\nt\private\crt32st\startup\crt0.c	0x0004eada	0x0004ec86	0x1ac	_mainCRTStartup; inherit; __amsg_exit
66	D:\nt\private\crt32st\startup\crt0msg.c	D:\nt\private\crt32st\startup\crt0msg.c	0x0004eca8	0x0004ed3c	0x94	__FF_MSGBANNER; __NMSG_WRITE
67	D:\nt\private\crt32st\lowio\osfinfo.c	D:\nt\private\crt32st\lowio\osfinfo.c	0x0004ed4e	0x0004ef6a	0x21c	__alloc_osfhnd; __set_osfhnd; __free_osfhnd; __get_osfhandle; __open_osfhandle
68	D:\nt\private\crt32st\stdio\_getbuf.c	D:\nt\private\crt32st\stdio\_getbuf.c	0x0004ef74	0x0004efc4	0x50	__getbuf
69	D:\nt\private\crt32st\stdio\fflush.c	D:\nt\private\crt32st\stdio\fflush.c	0x0004efc4	0x0004f120	0x15c	_fflush; __flush; __flushall; flsall; __endstdio
70	D:\nt\private\crt32st\lowio\commit.c	D:\nt\private\crt32st\lowio\commit.c	0x0004f124	0x0004f194	0x70	__commit
71	D:\nt\private\crt32st\stdio\closeall.c	D:\nt\private\crt32st\stdio\closeall.c	0x0004f19a	0x0004f1ca	0x30	__fcloseall
72	D:\nt\private\crt32st\heap\heapinit.c	D:\nt\private\crt32st\heap\heapinit.c	0x0004f1ca	0x0004f22a	0x60	__heap_init; __heap_grow_emptylist
73	D:\nt\private\crt32st\heap\hpabort.c	D:\nt\private\crt32st\heap\hpabort.c	0x0004f230	0x0004f23c	0xc	__heap_abort
74	D:\nt\private\crt32st\stdio\_file.c	D:\nt\private\crt32st\stdio\_file.c	0x0004f240	0x0004f240	0x0	
75	D:\nt\private\crt32st\lowio\isatty.c	D:\nt\private\crt32st\lowio\isatty.c	0x0004f240	0x0004f264	0x24	__isatty
